lastName firstName chapter1/10 chapter2/15 chapter3/20 chapter4/25 chapter5/30 chapter6/35 chapter7/40 chapter8/45 midterm/55 chapter9/50
smith bob 10 10 10 10 10 10 10 10 10 10
duke daisy 11 13 19 22 28 35 42 40 30 49
smee sam 1 6 10 20 27 35 40 45 49 60
hook james 1 5 11 19 18 10 13 11 13 60
jones davie 1 5 11 19 18 10 13 11 13 60
bunyan paul 10 15 20 25 30 35 40 45 50 60
noel-hemming scott 10 15 19 23 29 35 42 42 41 51
hollerith herman 10 16 16 21 30 33 42 24 60 49
turing alan 10 10 18 32 23 25 40 52 52 60
church alonzo 9 15 22 34 34 25 33 36 47 60
mccarthy john 12 13 19 24 23 23 36 33 39 60
russell steve 9 15 29 42 36 33 36 47 44 60
levin mike 8 01 18 25 27 35 34 46 45 60
hart tim 12 10 21 26 22 34 46 36 33 60
smith bob 10 10 10 10 10 10 10 10 10 10
duke daisy 11 13 19 22 28 35 42 40 30 49
smee sam 1 6 10 20 27 35 40 45 49 60
hook james 1 5 11 19 18 10 13 11 13 60
jones davie 1 5 11 19 18 10 13 11 13 60
bunyan paul 10 15 20 25 30 35 40 45 50 60
noel-hemming scott 10 15 19 23 29 35 42 42 41 51
hollerith herman 10 16 16 21 30 33 42 24 60 49
turing alan 10 10 18 32 23 25 40 52 52 60
church alonzo 9 15 22 34 34 25 33 36 47 60
mccarthy john 12 13 19 24 23 23 36 33 39 60
russell steve 9 15 29 42 36 33 36 47 44 60
levin mike 8 01 18 25 27 35 34 46 45 60
hart tim 12 10 21 26 22 34 46 36 33 60
smith bob 10 10 10 10 10 10 10 10 10 10
duke daisy 11 13 19 22 28 35 42 40 30 49
smee sam 1 6 10 20 27 35 40 45 49 60
hook james 1 5 11 19 18 10 13 11 13 60
jones davie 1 5 11 19 18 10 13 11 13 60
bunyan paul 10 15 20 25 30 35 40 45 50 60
noel-hemming scott 10 15 19 23 29 35 42 42 41 51
hollerith herman 10 16 16 21 30 33 42 24 60 49
turing alan 10 10 18 32 23 25 40 52 52 60
church alonzo 9 15 22 34 34 25 33 36 47 60
mccarthy john 12 13 19 24 23 23 36 33 39 60
russell steve 9 15 29 42 36 33 36 47 44 60
levin mike 8 01 18 25 27 35 34 46 45 60
hart tim 12 10 21 26 22 34 46 36 33 60
smith bob 10 10 10 10 10 10 10 10 10 10
duke daisy 11 13 19 22 28 35 42 40 30 49
smee sam 1 6 10 20 27 35 40 45 49 60
hook james 1 5 11 19 18 10 13 11 13 60
jones davie 1 5 11 19 18 10 13 11 13 60
bunyan paul 10 15 20 25 30 35 40 45 50 60
noel-hemming scott 10 15 19 23 29 35 42 42 41 51
hollerith herman 10 16 16 21 30 33 42 24 60 49
turing alan 10 10 18 32 23 25 40 52 52 60
church alonzo 9 15 22 34 34 25 33 36 47 60
mccarthy john 12 13 19 24 23 23 36 33 39 60
russell steve 9 15 29 42 36 33 36 47 44 60
levin mike 8 01 18 25 27 35 34 46 45 60
hart tim 12 10 21 26 22 34 46 36 33 60
smith bob 10 10 10 10 10 10 10 10 10 10
duke daisy 11 13 19 22 28 35 42 40 30 49
smee sam 1 6 10 20 27 35 40 45 49 60
hook james 1 5 11 19 18 10 13 11 13 60
